ID,Video Initial Max DL Rate(kbps),E2E RTT(ms),Average Rate of Playing phase (kbps),Initial Buffering Latency(ms),Stalling Ratio,VMOS,Video Total DL Rate(kbps),Stalling Length,Playing Length,Total time of Playing phase (kbps),Stalling times,video bitrate,Video Initial buffer download,SQuality,SLoading,Sstalling
3009419,68444,40,6065,816,0.0,4.05,6091,0,30005,30005,0,2903,1664692,4.33,4.25,5.0
3009442,73417,46,6097,932,0.0,4.01,6170,0,30004,30004,0,2934,1574392,4.33,4.17,5.0
3009443,39105,52,5899,1070,0.0,3.97,6057,0,30003,30003,0,2903,1577892,4.33,4.07,5.0
3009456,50566,99,6807,1683,0.0,3.79,6736,0,30025,30025,0,2934,1554092,4.33,3.66,5.0
3009473,23704,53,6168,1485,0.0,3.85,6154,0,30003,30003,0,2903,1541579,4.33,3.78,5.0
3009475,53607,54,6261,994,0.0,3.99,6435,0,30007,30007,0,2903,1597492,4.33,4.12,5.0
3009490,67269,41,6134,804,0.0,4.05,6167,0,30014,30014,0,2903,1555208,4.33,4.26,5.0
3009506,27733,30,5603,1010,0.0,3.99,5642,0,30007,30007,0,2966,1595192,4.34,4.11,5.0
3009526,61087,61,3141,1028,0.0,3.99,3636,0,30004,30004,0,2934,1597652,4.33,4.1,5.0
3009527,39200,54,6080,1032,0.0,3.98,6119,0,30042,30042,0,2934,1626932,4.33,4.1,5.0
3009536,24900,99,6282,2053,0.0,3.68,6204,0,30004,30004,0,2934,1568132,4.33,3.43,5.0
3009539,34272,53,5894,1072,0.0,3.97,6063,0,30003,30003,0,2903,1530292,4.33,4.07,5.0
3009543,57248,36,5623,765,0.0,4.06,5721,0,30011,30011,0,2934,1612092,4.33,4.29,5.0
3009549,54600,51,6337,1222,0.0,3.93,6463,0,30004,30004,0,2966,1622692,4.34,3.96,5.0
3009554,25958,55,5667,1302,0.0,3.91,5794,0,30004,30004,0,2966,1591276,4.34,3.91,5.0
3009571,52955,49,5853,937,0.0,4.02,6050,0,30004,30004,0,2966,1611492,4.34,4.16,5.0
3009582,75654,52,6144,919,0.0,4.02,6150,0,30007,30007,0,2934,1610092,4.33,4.18,5.0
3009583,46953,73,5927,1178,0.0,3.94,6107,0,30007,30007,0,2934,1663902,4.33,3.99,5.0
